generation,mean_pnl_per_second,best_pnl_per_second,mean_score,best_score,sharpe
1,-0.08360172937499999,0.36496827,-0.6221890222916667,0.36409277,-0.5169174113743045
2,-0.01119604541666667,0.36496827,-0.41659531041666664,0.36409277,-0.06267405552957891
3,-0.115573053125,0.126099125,-0.6854707483333332,0.125102625,-0.5995819719202534
4,-0.12673892791666666,0.36496827,-0.78716396375,0.36409277,-0.4654895124021634
5,-0.084296334375,0.36496827,-0.5805767025,0.36409277,-0.295131659977809
6,-0.05891966020833333,0.36496827,-0.7311705347916666,0.36409277,-0.31735830681617616
